时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 10:40:13.675,COM3, -0.246, 1.246, -0.180, 44.922, 40.710, 107.178, 98.536, 0.170, -37.991, 47.00,
 10:40:13.675,COM3, -0.246, 1.204, -0.158, 44.983, 34.302, 97.290, 98.998, -0.775, -37.842, 46.99,
 10:40:13.675,COM3, -0.254, 1.204, -0.158, 44.983, 34.302, 97.290, 99.448, -1.725, -37.700, 46.99,
 10:40:13.675,COM3, -0.254, 1.138, -0.132, 45.166, 27.771, 86.731, 99.899, -2.549, -37.606, 46.99,
 10:40:13.675,COM3, -0.262, 1.138, -0.132, 45.166, 27.771, 86.731, 100.338, -3.373, -37.524, 46.99,
 10:40:13.675,COM3, -0.262, 1.082, -0.100, 46.326, 20.996, 76.965, 100.794, -4.076, -37.496, 47.00,
 10:40:13.675,COM3, -0.260, 1.082, -0.100, 46.326, 20.996, 76.965, 101.239, -4.779, -37.474, 47.00,
 10:40:13.675,COM3, -0.260, 1.075, -0.062, 47.363, 15.320, 67.200, 101.695, -5.367, -37.491, 47.00,
 10:40:13.756,COM3, -0.239, 1.075, -0.062, 47.363, 15.320, 67.200, 102.151, -5.955, -37.513, 47.00,
 10:40:13.756,COM3, -0.239, 1.074, -0.036, 44.922, 14.343, 55.420, 102.568, -6.416, -37.518, 47.00,
 10:40:13.756,COM3, -0.222, 1.074, -0.036, 44.922, 14.343, 55.420, 102.986, -6.877, -37.535, 47.00,
 10:40:13.756,COM3, -0.222, 1.059, -0.030, 41.138, 19.287, 44.678, 103.348, -7.240, -37.474, 46.99,
 10:40:13.756,COM3, -0.237, 1.059, -0.030, 41.138, 19.287, 44.678, 103.705, -7.603, -37.419, 46.99,
 10:40:13.756,COM3, -0.237, 1.046, -0.023, 36.560, 23.926, 36.377, 104.008, -7.894, -37.299, 47.00,
 10:40:13.756,COM3, -0.263, 1.046, -0.023, 36.560, 23.926, 36.377, 104.299, -8.185, -37.178, 47.00,
 10:40:13.756,COM3, -0.263, 1.040, 0.003, 30.884, 23.254, 29.541, 104.535, -8.405, -37.046, 47.00,
 10:40:13.756,COM3, -0.267, 1.040, 0.003, 30.884, 23.254, 29.541, 104.760, -8.624, -36.914, 47.00,
 10:40:13.848,COM3, -0.267, 1.030, 0.023, 23.804, 20.386, 22.339, 104.914, -8.762, -36.793, 47.00,
 10:40:13.848,COM3, -0.275, 1.030, 0.023, 23.804, 20.386, 22.339, 105.062, -8.899, -36.667, 47.00,
 10:40:13.848,COM3, -0.275, 1.007, 0.035, 17.029, 17.395, 15.747, 105.145, -8.959, -36.557, 47.00,
 10:40:13.848,COM3, -0.291, 1.007, 0.035, 17.029, 17.395, 15.747, 105.222, -9.025, -36.447, 47.00,
 10:40:13.848,COM3, -0.291, 0.989, 0.034, 10.437, 12.329, 10.376, 105.238, -9.020, -36.365, 47.00,
 10:40:13.848,COM3, -0.303, 0.989, 0.034, 10.437, 12.329, 10.376, 105.249, -9.014, -36.288, 47.00,
 10:40:13.848,COM3, -0.303, 0.980, 0.044, 3.784, 5.005, 5.188, 105.205, -8.937, -36.266, 47.00,
 10:40:13.848,COM3, -0.293, 0.980, 0.044, 3.784, 5.005, 5.188, 105.156, -8.860, -36.244, 47.00,
 10:40:13.848,COM3, -0.293, 0.983, 0.040, -3.906, -0.977, -1.221, 105.035, -8.707, -36.260, 47.00,
 10:40:13.933,COM3, -0.280, 0.983, 0.040, -3.906, -0.977, -1.221, 104.914, -8.547, -36.277, 47.00,
 10:40:13.933,COM3, -0.280, 0.983, 0.009, -12.268, -3.662, -8.667, 104.711, -8.311, -36.304, 46.99,
 10:40:13.933,COM3, -0.269, 0.983, 0.009, -12.268, -3.662, -8.667, 104.507, -8.080, -36.332, 46.99,
 10:40:13.933,COM3, -0.269, 0.990, -0.024, -19.775, -3.235, -17.029, 104.227, -7.767, -36.332, 47.00,
 10:40:13.933,COM3, -0.278, 0.990, -0.024, -19.775, -3.235, -17.029, 103.953, -7.460, -36.337, 47.00,
 10:40:13.933,COM3, -0.278, 1.004, -0.054, -26.123, -3.235, -26.184, 103.612, -7.059, -36.321, 47.00,
 10:40:13.933,COM3, -0.271, 1.004, -0.054, -26.123, -3.235, -26.184, 103.277, -6.663, -36.304, 47.00,
 10:40:13.933,COM3, -0.271, 1.023, -0.078, -31.189, -6.104, -36.560, 102.898, -6.163, -36.299, 46.99,
 10:40:13.933,COM3, -0.254, 1.023, -0.078, -31.189, -6.104, -36.560, 102.519, -5.669, -36.299, 46.99,
 10:40:14.021,COM3, -0.254, 1.035, -0.114, -35.095, -8.240, -47.729, 102.112, -5.059, -36.293, 47.00,
 10:40:14.021,COM3, -0.248, 1.035, -0.114, -35.095, -8.240, -47.729, 101.706, -4.460, -36.299, 47.00,
 10:40:14.021,COM3, -0.248, 1.046, -0.147, -35.828, -9.949, -57.373, 101.299, -3.763, -36.304, 47.00,
 10:40:14.021,COM3, -0.245, 1.046, -0.147, -35.828, -9.949, -57.373, 100.904, -3.071, -36.321, 47.00,
 10:40:14.021,COM3, -0.245, 1.074, -0.181, -35.522, -13.000, -66.528, 100.514, -2.291, -36.348, 47.00,
 10:40:14.021,COM3, -0.234, 1.074, -0.181, -35.522, -13.000, -66.528, 100.129, -1.516, -36.387, 47.00,
 10:40:14.021,COM3, -0.234, 1.099, -0.195, -33.997, -18.860, -75.256, 99.761, -0.654, -36.475, 47.00,
 10:40:14.021,COM3, -0.213, 1.099, -0.195, -33.997, -18.860, -75.256, 99.404, 0.198, -36.563, 47.00,
 10:40:14.021,COM3, -0.213, 1.136, -0.198, -31.311, -24.109, -83.618, 99.075, 1.143, -36.700, 46.99,
 10:40:14.112,COM3, -0.199, 1.136, -0.198, -31.311, -24.109, -83.618, 98.751, 2.071, -36.843, 46.99,
 10:40:14.112,COM3, -0.199, 1.147, -0.207, -29.114, -27.344, -92.163, 98.443, 3.087, -37.007, 47.00,
 10:40:14.112,COM3, -0.202, 1.147, -0.207, -29.114, -27.344, -92.163, 98.141, 4.087, -37.178, 47.00,
 10:40:14.112,COM3, -0.202, 1.143, -0.201, -24.109, -30.457, -97.839, 97.888, 5.142, -37.375, 47.00,
 10:40:14.112,COM3, -0.191, 1.143, -0.201, -24.109, -30.457, -97.839, 97.630, 6.191, -37.579, 47.00,
 10:40:14.112,COM3, -0.191, 1.159, -0.183, -18.311, -33.020, -102.173, 97.427, 7.273, -37.809, 47.00,
 10:40:14.112,COM3, -0.164, 1.159, -0.183, -18.311, -33.020, -102.173, 97.224, 8.350, -38.040, 47.00,
 10:40:14.112,COM3, -0.164, 1.171, -0.188, -15.564, -31.494, -106.934, 97.048, 9.465, -38.254, 47.00,
 10:40:14.193,COM3, -0.160, 1.171, -0.188, -15.564, -31.494, -106.934, 96.866, 10.563, -38.474, 47.00,
 10:40:14.193,COM3, -0.160, 1.125, -0.186, -15.503, -28.259, -111.938, 96.691, 11.678, -38.677, 47.00,
 10:40:14.193,COM3, -0.159, 1.125, -0.186, -15.503, -28.259, -111.938, 96.509, 12.810, -38.864, 47.00,
 10:40:14.193,COM3, -0.159, 1.045, -0.173, -15.076, -24.719, -115.662, 96.339, 13.947, -39.034, 47.00,
 10:40:14.193,COM3, -0.146, 1.045, -0.173, -15.076, -24.719, -115.662, 96.169, 15.095, -39.188, 47.00,
 10:40:14.193,COM3, -0.146, 0.973, -0.170, -15.198, -20.264, -119.385, 96.004, 16.249, -39.320, 47.00,
 10:40:14.193,COM3, -0.138, 0.973, -0.170, -15.198, -20.264, -119.385, 95.845, 17.413, -39.435, 47.00,
 10:40:14.193,COM3, -0.138, 0.910, -0.181, -15.503, -16.785, -121.765, 95.691, 18.578, -39.529, 47.01,
 10:40:14.193,COM3, -0.126, 0.910, -0.181, -15.503, -16.785, -121.765, 95.537, 19.748, -39.606, 47.01,
 10:40:14.281,COM3, -0.126, 0.878, -0.187, -14.587, -15.381, -120.117, 95.389, 20.896, -39.683, 47.00,
 10:40:14.281,COM3, -0.121, 0.878, -0.187, -14.587, -15.381, -120.117, 95.251, 22.033, -39.749, 47.00,
 10:40:14.281,COM3, -0.121, 0.887, -0.196, -14.526, -15.930, -113.953, 95.109, 23.126, -39.831, 46.99,
 10:40:14.281,COM3, -0.113, 0.887, -0.196, -14.526, -15.930, -113.953, 94.966, 24.186, -39.913, 46.99,
 10:40:14.281,COM3, -0.113, 0.896, -0.214, -15.808, -17.822, -103.455, 94.812, 25.186, -40.018, 46.99,
 10:40:14.281,COM3, -0.110, 0.896, -0.214, -15.808, -17.822, -103.455, 94.642, 26.131, -40.144, 46.99,
 10:40:14.281,COM3, -0.110, 0.912, -0.232, -17.151, -20.447, -87.463, 94.455, 26.988, -40.287, 46.99,
 10:40:14.281,COM3, -0.117, 0.912, -0.232, -17.151, -20.447, -87.463, 94.252, 27.757, -40.463, 46.99,
 10:40:14.281,COM3, -0.117, 0.921, -0.236, -18.066, -22.705, -67.688, 94.032, 28.427, -40.655, 47.01,
 10:40:14.371,COM3, -0.125, 0.921, -0.236, -18.066, -22.705, -67.688, 93.801, 28.993, -40.875, 47.01,
 10:40:14.371,COM3, -0.125, 0.933, -0.234, -17.334, -23.621, -45.166, 93.565, 29.438, -41.111, 46.99,
 10:40:14.371,COM3, -0.124, 0.933, -0.234, -17.334, -23.621, -45.166, 93.329, 29.773, -41.358, 46.99,
 10:40:14.371,COM3, -0.124, 0.953, -0.229, -15.503, -20.996, -23.376, 93.104, 29.998, -41.600, 47.01,
 10:40:14.371,COM3, -0.119, 0.953, -0.229, -15.503, -20.996, -23.376, 92.889, 30.108, -41.836, 47.01,
 10:40:14.371,COM3, -0.119, 0.950, -0.227, -13.611, -16.541, -5.493, 92.703, 30.125, -42.050, 47.00,
 10:40:14.371,COM3, -0.107, 0.950, -0.227, -13.611, -16.541, -5.493, 92.532, 30.053, -42.248, 47.00,
 10:40:14.371,COM3, -0.107, 0.923, -0.232, -11.902, -8.545, 6.042, 92.395, 29.921, -42.396, 47.00,
 10:40:14.371,COM3, -0.116, 0.923, -0.232, -11.902, -8.545, 6.042, 92.291, 29.729, -42.501, 47.00,
 10:40:14.460,COM3, -0.116, 0.881, -0.234, -10.193, 2.014, 10.681, 92.230, 29.515, -42.550, 47.00,
 10:40:14.460,COM3, -0.117, 0.881, -0.234, -10.193, 2.014, 10.681, 92.203, 29.273, -42.534, 47.00,
 10:40:14.460,COM3, -0.117, 0.837, -0.232, -7.385, 11.841, 11.353, 92.219, 29.031, -42.462, 47.00,
 10:40:14.460,COM3, -0.111, 0.837, -0.232, -7.385, 11.841, 11.353, 92.280, 28.784, -42.336, 47.00,
 10:40:14.460,COM3, -0.111, 0.813, -0.231, -4.700, 20.508, 10.315, 92.373, 28.542, -42.166, 47.02,
 10:40:14.460,COM3, -0.115, 0.813, -0.231, -4.700, 20.508, 10.315, 92.505, 28.301, -41.940, 47.02,
 10:40:14.460,COM3, -0.115, 0.817, -0.233, -2.136, 26.123, 11.169, 92.664, 28.059, -41.688, 47.00,
 10:40:14.460,COM3, -0.136, 0.817, -0.233, -2.136, 26.123, 11.169, 92.851, 27.812, -41.407, 47.00,
 10:40:14.552,COM3, -0.136, 0.835, -0.237, -0.610, 26.917, 16.052, 93.043, 27.543, -41.122, 47.01,
 10:40:14.552,COM3, -0.140, 0.835, -0.237, -0.610, 26.917, 16.052, 93.241, 27.246, -40.836, 47.01,
 10:40:14.552,COM3, -0.140, 0.854, -0.233, 1.587, 25.391, 25.940, 93.444, 26.906, -40.567, 47.00,
 10:40:14.552,COM3, -0.140, 0.854, -0.233, 1.587, 25.391, 25.940, 93.647, 26.521, -40.309, 47.00,
 10:40:14.552,COM3, -0.140, 0.891, -0.228, 4.150, 25.452, 38.818, 93.856, 26.071, -40.062, 46.99,
 10:40:14.552,COM3, -0.135, 0.891, -0.228, 4.150, 25.452, 38.818, 94.070, 25.560, -39.820, 46.99,
 10:40:14.552,COM3, -0.135, 0.917, -0.234, 5.249, 27.161, 50.964, 94.290, 24.988, -39.578, 47.00,
 10:40:14.552,COM3, -0.131, 0.917, -0.234, 5.249, 27.161, 50.964, 94.510, 24.357, -39.337, 47.00,
 10:40:14.552,COM3, -0.131, 0.933, -0.250, 6.592, 29.236, 62.683, 94.735, 23.676, -39.095, 47.01,
 10:40:14.630,COM3, -0.144, 0.933, -0.250, 6.592, 29.236, 62.683, 94.960, 22.934, -38.853, 47.01,
 10:40:14.630,COM3, -0.144, 0.973, -0.268, 7.629, 28.687, 73.914, 95.180, 22.137, -38.622, 47.01,
 10:40:14.630,COM3, -0.132, 0.973, -0.268, 7.629, 28.687, 73.914, 95.400, 21.292, -38.408, 47.01,
 10:40:14.630,COM3, -0.132, 1.019, -0.278, 7.874, 27.039, 83.679, 95.609, 20.407, -38.216, 47.00,
 10:40:14.630,COM3, -0.103, 1.019, -0.278, 7.874, 27.039, 83.679, 95.812, 19.473, -38.040, 47.00,
 10:40:14.630,COM3, -0.103, 1.067, -0.277, 9.644, 31.372, 92.163, 96.021, 18.501, -37.848, 47.00,
 10:40:14.630,COM3, -0.086, 1.067, -0.277, 9.644, 31.372, 92.163, 96.235, 17.490, -37.650, 47.00,
 10:40:14.630,COM3, -0.086, 1.081, -0.288, 9.155, 43.091, 97.046, 96.460, 16.447, -37.397, 47.00,
 10:40:14.630,COM3, -0.104, 1.081, -0.288, 9.155, 43.091, 97.046, 96.691, 15.381, -37.095, 47.00,
 10:40:14.718,COM3, -0.104, 1.009, -0.278, 10.132, 58.411, 99.548, 96.938, 14.293, -36.722, 47.01,
 10:40:14.718,COM3, -0.152, 1.009, -0.278, 10.132, 58.411, 99.548, 97.196, 13.189, -36.282, 47.01,
 10:40:14.718,COM3, -0.152, 0.917, -0.240, 15.747, 68.359, 102.051, 97.482, 12.074, -35.799, 47.00,
 10:40:14.718,COM3, -0.181, 0.917, -0.240, 15.747, 68.359, 102.051, 97.789, 10.942, -35.277, 47.00,
 10:40:14.718,COM3, -0.181, 0.887, -0.190, 24.353, 69.580, 105.408, 98.130, 9.800, -34.761, 47.00,
 10:40:14.718,COM3, -0.198, 0.887, -0.190, 24.353, 69.580, 105.408, 98.498, 8.646, -34.250, 47.00,
 10:40:14.718,COM3, -0.198, 0.958, -0.154, 32.532, 63.354, 110.229, 98.888, 7.482, -33.788, 47.01,
 10:40:14.718,COM3, -0.218, 0.958, -0.154, 32.532, 63.354, 110.229, 99.294, 6.301, -33.371, 47.01,
 10:40:14.718,COM3, -0.218, 1.137, -0.130, 37.354, 51.941, 117.310, 99.706, 5.098, -33.025, 47.00,
 10:40:14.808,COM3, -0.209, 1.137, -0.130, 37.354, 51.941, 117.310, 100.118, 3.884, -32.750, 47.00,
 10:40:14.808,COM3, -0.209, 1.316, -0.130, 35.461, 39.429, 122.498, 100.508, 2.653, -32.547, 47.01,
 10:40:14.808,COM3, -0.154, 1.316, -0.130, 35.461, 39.429, 122.498, 100.871, 1.423, -32.426, 47.01,
 10:40:14.808,COM3, -0.646, 1.421, -0.171, 30.701, 36.926, 123.291, 101.201, 0.192, -32.322, 47.01,
 10:40:14.808,COM3, -0.150, 5.743, -0.659, 30.701, 36.926, 123.291, 101.497, -1.027, -32.234, 47.01,
 10:40:14.808,COM3, -0.150, 1.462, -0.158, 26.123, 41.016, 121.643, 101.761, -2.247, -32.135, 47.01,
 10:40:14.808,COM3, -0.210, 1.462, -0.158, 26.123, 41.016, 121.643, 101.997, -3.461, -32.014, 47.01,
 10:40:14.808,COM3, -0.210, 1.427, -0.051, 22.888, 37.231, 116.333, 102.211, -4.631, -31.915, 47.00,
 10:40:14.808,COM3, -0.261, 1.427, -0.051, 22.888, 37.231, 116.333, 102.404, -5.768, -31.827, 47.00,
 10:40:14.897,COM3, -0.261, 1.323, 0.079, 23.499, 24.719, 108.887, 102.596, -6.850, -31.794, 47.00,
 10:40:14.897,COM3, -0.249, 1.323, 0.079, 23.499, 24.719, 108.887, 102.799, -7.872, -31.816, 47.00,
 10:40:14.897,COM3, -0.249, 1.223, 0.164, 26.611, 12.939, 97.778, 103.013, -8.822, -31.888, 47.00,
 10:40:14.897,COM3, -0.191, 1.223, 0.164, 26.611, 12.939, 97.778, 103.244, -9.695, -32.009, 47.00,
 10:40:14.897,COM3, -0.191, 1.146, 0.192, 28.442, 14.587, 83.252, 103.480, -10.492, -32.102, 47.00,
 10:40:14.897,COM3, -0.162, 1.146, 0.192, 28.442, 14.587, 83.252, 103.711, -11.212, -32.173, 47.00,
 10:40:14.897,COM3, -0.162, 1.096, 0.179, 26.062, 26.794, 68.848, 103.909, -11.876, -32.168, 47.01,
 10:40:14.897,COM3, -0.152, 1.096, 0.179, 26.062, 26.794, 68.848, 104.073, -12.486, -32.080, 47.01,
 10:40:14.987,COM3, -0.152, 1.064, 0.139, 18.494, 40.344, 57.007, 104.172, -13.046, -31.910, 47.00,
 10:40:14.987,COM3, -0.186, 1.064, 0.139, 18.494, 40.344, 57.007, 104.211, -13.563, -31.657, 47.00,
 10:40:14.987,COM3, -0.186, 1.028, 0.084, 5.676, 48.889, 48.767, 104.167, -14.046, -31.349, 47.01,
 10:40:14.987,COM3, -0.244, 1.028, 0.084, 5.676, 48.889, 48.767, 104.046, -14.502, -30.987, 47.01,
 10:40:14.987,COM3, -0.244, 0.989, 0.041, -9.644, 47.852, 45.105, 103.837, -14.930, -30.619, 47.00,
 10:40:14.987,COM3, -0.323, 0.989, 0.041, -9.644, 47.852, 45.105, 103.557, -15.337, -30.251, 47.00,
 10:40:14.987,COM3, -0.323, 0.949, 0.026, -25.269, 36.865, 46.326, 103.206, -15.727, -29.932, 47.00,
 10:40:14.987,COM3, -0.376, 0.949, 0.026, -25.269, 36.865, 46.326, 102.794, -16.100, -29.663, 47.00,
 10:40:14.987,COM3, -0.376, 0.896, 0.025, -38.269, 16.479, 51.208, 102.349, -16.469, -29.498, 47.01,
 10:40:15.068,COM3, -0.381, 0.896, 0.025, -38.269, 16.479, 51.208, 101.871, -16.831, -29.438, 47.01,
 10:40:15.068,COM3, -0.381, 0.870, 0.016, -45.349, -4.028, 55.908, 101.387, -17.188, -29.482, 47.01,
 10:40:15.068,COM3, -0.351, 0.870, 0.016, -45.349, -4.028, 55.908, 100.904, -17.545, -29.630, 47.01,
 10:40:15.068,COM3, -0.351, 0.866, -0.028, -50.781, -15.503, 55.420, 100.421, -17.880, -29.833, 47.01,
 10:40:15.068,COM3, -0.316, 0.866, -0.028, -50.781, -15.503, 55.420, 99.926, -18.199, -30.092, 47.01,
 10:40:15.068,COM3, -0.316, 0.863, -0.092, -52.979, -14.832, 51.697, 99.426, -18.501, -30.339, 47.01,
 10:40:15.068,COM3, -0.322, 0.863, -0.092, -52.979, -14.832, 51.697, 98.915, -18.776, -30.575, 47.01,
 10:40:15.068,COM3, -0.322, 0.926, -0.130, -49.866, -6.653, 46.204, 98.416, -19.034, -30.762, 47.01,
 10:40:15.068,COM3, -0.362, 0.926, -0.130, -49.866, -6.653, 46.204, 97.921, -19.270, -30.899, 47.01,
 10:40:15.156,COM3, -0.362, 1.000, -0.168, -49.866, 1.038, 33.752, 97.416, -19.446, -30.981, 47.01,
 10:40:15.156,COM3, -0.406, 1.000, -0.168, -49.866, 1.038, 33.752, 96.905, -19.567, -31.020, 47.01,
 10:40:15.156,COM3, -0.406, 1.035, -0.221, -48.462, 5.005, 15.015, 96.394, -19.589, -31.020, 47.01,
 10:40:15.156,COM3, -0.445, 1.035, -0.221, -48.462, 5.005, 15.015, 95.889, -19.523, -30.992, 47.01,
 10:40:15.156,COM3, -0.445, 1.048, -0.267, -46.143, 0.610, -9.949, 95.411, -19.330, -30.976, 47.02,
 10:40:15.156,COM3, -0.458, 1.048, -0.267, -46.143, 0.610, -9.949, 94.955, -19.006, -30.976, 47.02,
 10:40:15.156,COM3, -0.458, 0.993, -0.294, -44.556, -14.526, -41.687, 94.532, -18.523, -31.042, 47.01,
 10:40:15.156,COM3, -0.385, 0.993, -0.294, -44.556, -14.526, -41.687, 94.153, -17.869, -31.179, 47.01,
 10:40:15.156,COM3, -0.385, 0.943, -0.275, -31.799, -27.649, -78.125, 93.856, -17.040, -31.377, 47.01,
 10:40:15.244,COM3, -0.337, 0.943, -0.275, -31.799, -27.649, -78.125, 93.642, -16.024, -31.630, 47.01,
 10:40:15.244,COM3, -0.337, 0.989, -0.314, -24.048, -47.607, -109.131, 93.494, -14.859, -31.981, 47.01,
 10:40:15.244,COM3, -0.197, 0.989, -0.314, -24.048, -47.607, -109.131, 93.406, -13.541, -32.426, 47.01,
 10:40:15.244,COM3, -0.197, 1.033, -0.298, -15.137, -53.101, -141.785, 93.362, -12.068, -32.888, 47.00,
 10:40:15.244,COM3, -0.155, 1.033, -0.298, -15.137, -53.101, -141.785, 93.351, -10.448, -33.360, 47.00,
 10:40:15.244,COM3, -0.155, 1.126, -0.312, -5.066, -40.833, -167.969, 93.373, -8.712, -33.761, 47.00,
 10:40:15.244,COM3, -0.125, 1.126, -0.312, -5.066, -40.833, -167.969, 93.422, -6.872, -34.085, 47.00,
 10:40:15.244,COM3, -0.125, 1.211, -0.333, 0.061, -22.522, -189.514, 93.477, -4.938, -34.305, 47.02,
 10:40:15.244,COM3, -0.139, 1.211, -0.333, 0.061, -22.522, -189.514, 93.543, -2.928, -34.420, 47.02,
 10:40:15.334,COM3, -0.139, 1.278, -0.342, 6.042, -5.920, -202.393, 93.631, -0.873, -34.448, 47.01,
 10:40:15.334,COM3, -0.134, 1.278, -0.342, 6.042, -5.920, -202.393, 93.752, 1.219, -34.376, 47.01,
 10:40:15.334,COM3, -0.134, 1.329, -0.339, 12.878, 4.150, -209.839, 93.911, 3.329, -34.244, 47.01,
 10:40:15.334,COM3, -0.132, 1.329, -0.339, 12.878, 4.150, -209.839, 94.114, 5.460, -34.047, 47.01,
 10:40:15.334,COM3, -0.132, 1.341, -0.333, 19.592, 7.690, -212.646, 94.356, 7.586, -33.821, 47.02,
 10:40:15.334,COM3, -0.139, 1.341, -0.333, 19.592, 7.690, -212.646, 94.647, 9.706, -33.558, 47.02,
 10:40:15.334,COM3, -0.139, 1.336, -0.312, 27.527, 3.662, -207.092, 94.977, 11.783, -33.305, 47.02,
 10:40:15.334,COM3, -0.140, 1.336, -0.312, 27.527, 3.662, -207.092, 95.356, 13.821, -33.058, 47.02,
 10:40:15.419,COM3, -0.140, 1.347, -0.287, 34.058, -6.653, -196.472, 95.762, 15.793, -32.849, 47.02,
 10:40:15.419,COM3, -0.127, 1.347, -0.287, 34.058, -6.653, -196.472, 96.191, 17.699, -32.679, 47.02,
 10:40:15.419,COM3, -0.127, 1.358, -0.277, 36.621, -19.043, -180.542, 96.619, 19.523, -32.563, 47.00,
 10:40:15.419,COM3, -0.127, 1.358, -0.277, 36.621, -19.043, -180.542, 97.037, 21.264, -32.509, 47.00,
 10:40:15.419,COM3, -0.131, 1.358, -0.277, 36.621, -19.043, -180.542, 97.454, 22.989, -32.432, 47.01,
 10:40:15.419,COM3, -0.131, 1.355, -0.272, 38.208, -32.471, -165.527, 97.828, 24.576, -32.514, 47.01,
 10:40:15.419,COM3, -0.145, 1.355, -0.272, 38.208, -32.471, -165.527, 98.201, 26.147, -32.580, 47.01,
 10:40:15.419,COM3, -0.145, 1.312, -0.259, 35.767, -46.936, -148.499, 98.465, 27.565, -32.827, 47.01,
 10:40:15.419,COM3, -0.136, 1.312, -0.259, 35.767, -46.936, -148.499, 98.723, 28.976, -33.069, 47.01,
 10:40:15.503,COM3, -0.136, 1.245, -0.235, 31.433, -58.167, -133.484, 98.855, 30.251, -33.459, 47.01,
 10:40:15.503,COM3, -0.125, 1.245, -0.235, 31.433, -58.167, -133.484, 98.976, 31.514, -33.849, 47.01,
 10:40:15.503,COM3, -0.125, 1.171, -0.222, 26.489, -67.749, -121.216, 98.970, 32.662, -34.376, 47.01,
 10:40:15.503,COM3, -0.075, 1.171, -0.222, 26.489, -67.749, -121.216, 98.943, 33.805, -34.915, 47.01,
 10:40:15.503,COM3, -0.075, 1.096, -0.174, 19.897, -70.374, -113.647, 98.817, 34.871, -35.502, 47.01,
 10:40:15.503,COM3, -0.071, 1.096, -0.174, 19.897, -70.374, -113.647, 98.674, 35.925, -36.101, 47.01,
 10:40:15.503,COM3, -0.071, 1.017, -0.169, 17.578, -58.960, -107.666, 98.564, 36.898, -36.584, 47.01,
 10:40:15.503,COM3, -0.072, 1.017, -0.169, 17.578, -58.960, -107.666, 98.448, 37.864, -37.073, 47.01,
 10:40:15.503,COM3, -0.072, 0.949, -0.158, 13.916, -52.551, -101.990, 98.322, 38.754, -37.502, 47.02,
 10:40:15.593,COM3, -0.081, 0.949, -0.158, 13.916, -52.551, -101.990, 98.190, 39.644, -37.936, 47.02,
 10:40:15.593,COM3, -0.081, 0.893, -0.151, 11.169, -46.936, -93.994, 98.053, 40.435, -38.320, 47.00,
 10:40:15.593,COM3, -0.078, 0.893, -0.151, 11.169, -46.936, -93.994, 97.910, 41.221, -38.716, 47.00,
 10:40:15.593,COM3, -0.078, 0.856, -0.153, 7.568, -44.922, -83.252, 97.729, 41.896, -39.106, 47.01,
 10:40:15.593,COM3, -0.068, 0.856, -0.153, 7.568, -44.922, -83.252, 97.537, 42.561, -39.507, 47.01,
 10:40:15.593,COM3, -0.068, 0.835, -0.164, 3.845, -44.189, -70.435, 97.295, 43.094, -39.924, 47.01,
 10:40:15.593,COM3, -0.047, 0.835, -0.164, 3.845, -44.189, -70.435, 97.048, 43.627, -40.347, 47.01,
 10:40:15.593,COM3, -0.047, 0.803, -0.173, -1.343, -37.354, -51.880, 96.784, 43.962, -40.715, 47.01,
 10:40:15.593,COM3, -0.052, 0.803, -0.173, -1.343, -37.354, -51.880, 96.520, 44.291, -41.089, 47.01,
 10:40:15.710,COM3, -0.052, 0.798, -0.183, -3.906, -29.114, -30.945, 96.284, 44.401, -41.380, 47.02,
 10:40:15.710,COM3, -0.056, 0.798, -0.183, -3.906, -29.114, -30.945, 96.053, 44.506, -41.671, 47.02,
 10:40:15.710,COM3, -0.056, 0.806, -0.192, -6.592, -21.790, -9.521, 95.845, 44.390, -41.896, 47.01,
 10:40:15.710,COM3, -0.067, 0.806, -0.192, -6.592, -21.790, -9.521, 95.636, 44.275, -42.116, 47.01,
 10:40:15.710,COM3, -0.067, 0.813, -0.201, -7.690, -16.296, 12.451, 95.460, 43.940, -42.292, 47.01,
 10:40:15.710,COM3, -0.063, 0.813, -0.201, -7.690, -16.296, 12.451, 95.284, 43.605, -42.462, 47.01,
 10:40:15.710,COM3, -0.063, 0.838, -0.206, -6.287, -11.658, 33.997, 95.153, 43.050, -42.594, 47.01,
 10:40:15.710,COM3, -0.030, 0.838, -0.206, -6.287, -11.658, 33.997, 95.026, 42.501, -42.726, 47.01,
 10:40:15.710,COM3, -0.030, 0.869, -0.218, -6.042, -3.662, 53.223, 94.960, 41.754, -42.764, 47.01,
 10:40:15.771,COM3, -0.022, 0.869, -0.218, -6.042, -3.662, 53.223, 94.905, 41.012, -42.808, 47.01,
 10:40:15.771,COM3, -0.022, 0.858, -0.240, -5.676, 8.850, 71.594, 94.944, 40.078, -42.709, 47.01,
 10:40:15.771,COM3, -0.026, 0.858, -0.240, -5.676, 8.850, 71.594, 94.982, 39.150, -42.610, 47.01,
 10:40:15.771,COM3, -0.026, 0.872, -0.256, -1.648, 22.034, 93.384, 95.147, 37.996, -42.374, 47.02,
 10:40:15.771,COM3, -0.051, 0.872, -0.256, -1.648, 22.034, 93.384, 95.306, 36.848, -42.144, 47.02,
 10:40:15.771,COM3, -0.051, 0.928, -0.258, 1.526, 33.325, 116.577, 95.554, 35.464, -41.814, 47.02,
